NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BICYCLE;BY_FOOT;CAR;MOTORBIKE;PUBLIC_TRANSPORT
AT1;AT13;AT130;90001;0;1993;2015;3,00;28,00;40,00;0,00;29,00
AT1;AT13;AT130;90001;0;1999;2015;4,00;27,00;36,00;0,00;33,00
AT1;AT13;AT130;90001;0;2003;2015;3,00;27,00;35,00;1,00;34,00
AT1;AT13;AT130;90001;0;2009;2015;6,00;27,00;32,00;0,00;35,00
AT1;AT13;AT130;90001;0;2010;2015;5,00;28,00;31,00;0,00;36,00
AT1;AT13;AT130;90001;0;2011;2015;6,00;28,00;29,00;0,00;37,00
AT1;AT13;AT130;90001;0;2012;2015;6,00;28,00;27,00;0,00;39,00
AT1;AT13;AT130;90001;0;2013;2015;6,00;27,00;28,00;0,00;39,00
AT1;AT13;AT130;90001;0;2014;2015;7,00;26,00;28,00;0,00;39,00
AT1;AT13;AT130;90001;0;2015;2015;7,00;27,00;27,00;0,00;39,00
